id,severity,label,root_cause,attack_path,title
row0,Critical,gas,integer_overflow_underflow,malicious_tx,Gas allocation error in CALL operations in Besu EVM [GHSA-4456-w38r-m5
row1,High,evm,missing_input_validation,malformed_input,"SHL, SHR, and SAR operations trigger native exception at key values"
row2,High,crypto,resource_exhaustion,malicious_p2p_message,DoS via malicious p2p message
row3,High,opcodes,consensus_divergence,malicious_tx,RETURNDATA corruption via datacopy
row4,High,transactions,consensus_divergence,crafted_state,Consensus flaw during block processing
row5,Critical,other,resource_exhaustion,malformed_input,Denial of service due to Go CVE-2020-28362 [GHSA-m6gx-rhvj-fh52 CVE-20
row6,High,opcodes,integer_overflow_underflow,malformed_input,Denial of service via `MulMod`
row7,High,precompiles,improper_state_update,malicious_tx,Shallow copy in the 0x4 precompile could lead to EVM memory corruption
row8,High,opcodes,missing_bounds_check,malicious_tx,Security disclosures
row9,High,sync,missing_input_validation,malicious_p2p_message,docs: vulnerability disclosure
row10,High,p2p,resource_exhaustion,malformed_input,golang.org/x/crypto Vulnerable to Denial of Service (DoS) via Slow or 
row11,High,transactions,unhandled_error_or_nil,crafted_state,miner: fix nil statedb panic in applyTransaction pre-amsterdam
row12,High,transactions,missing_input_validation,malformed_input,core/types: fix panic on invalid signature length
row13,High,blobs,other,malformed_input,core/txpool/blobpool: avoid possible zero index panic
row14,High,evm,incorrect_gas_accounting,malformed_input,core/vm: remove panic when address is not present
row15,High,database,improper_state_update,crafted_state,triedb/pathdb: fix panic in recoverable
row16,High,state-trie,improper_state_update,crafted_state,trie: use explicit errors in stacktrie (instead of panic)
row17,High,sync,race_condition,malformed_input,"common/prque, eth/downloader: fix timeout resurrection panic"
row18,High,test,resource_exhaustion,malformed_input,core/beacon: prevent invalid logsBloom length panic
row19,High,gas,unhandled_error_or_nil,malformed_input,core/vm: evm fix panic
row20,High,state-trie,improper_state_update,crafted_state,snapshot: add Unlock before return/panic
row21,High,p2p,unhandled_error_or_nil,malicious_p2p_message,les: fix panic
row22,High,sync,missing_input_validation,peer,eth/downloader: fix mutex regression causing panics on fail
row23,High,sync,other,malformed_input,eth/downloader: fix nil panic caused by wrong variable use
row24,High,transactions,serialization_bug,malicious_tx,fix panic on bad tx sender
row25,High,serialization,resource_exhaustion,malformed_input,beacon/engine: ensure nil ExecutionPayloadEnvelope.BlockValue doesn't 
row26,High,sync,other,malformed_input,eth/downloader: fix rare crash when parent header missing in db
row27,High,p2p,other,malicious_p2p_message,p2p/discover: fix crash in Resolve
row28,High,block-processing,missing_bounds_check,malicious_block,"core: reorg logs crashed, add a check for corner cases"
row29,High,sync,resource_exhaustion,crafted_state,"core/state, eth, trie: stabilize memory use, fix memory leak"
row30,High,state-trie,unhandled_error_or_nil,crafted_state,[core] Race condition on diffLayer
row31,High,beacon-chain:sync-committee,missing_input_validation,crafted_state,Incorrect processing of effective balances in Electra epoch processing
row32,High,beacon-chain:attestation,consensus_divergence,malicious_block,Fix reprocess queue memory leak
row33,High,data-availability-sampling,integer_overflow_underflow,crafted_state,Fix data columns not persisting for PeerDAS due to a `getBlobs` race c
row34,High,beacon-chain:block-processing,consensus_divergence,malformed_input,Race condition fix + Reliability improvements around forks pruning (#1
row35,High,p2p-interface,consensus_divergence,malicious_p2p_message,Fork choice timing attack
row36,High,database,resource_exhaustion,malicious_block,Prune forks from the database
row37,High,beacon-chain:block-processing,resource_exhaustion,malicious_block,Potential memory exhaustion vector
row38,High,data-availability-sampling,unhandled_error_or_nil,malicious_attestation,Partial columns cleanup
row39,High,fork-choice,consensus_divergence,crafted_state,Avoid 0x00 block hashes in fcU
row40,High,fork-choice,consensus_divergence,malformed_input,Deprecate some `reorg`-related CLI flags and read from spec
row41,High,beacon-chain:attestation,missing_input_validation,malicious_attestation,Fix slasher OOM
row42,High,fork-choice,integer_overflow_underflow,malformed_input,Fix O(n²) find_head and stack overflow in filter_block_tree
row43,High,bls,missing_input_validation,crafted_state,fix(bls): fix is_infinity when aggregating onto empty AggregateSignatu
row44,High,kzg-commitments,crypto_misuse,malformed_input,Remove `expect` usage in `kzg_utils`
row45,High,p2p-interface,resource_exhaustion,peer,Fix fetch blobs in all-null case
row46,High,fork-choice,improper_state_update,crafted_state,Work around UB in LMDB bindings
row47,High,data-availability-sampling,integer_overflow_underflow,malicious_attestation,PeerDAS spec tests
row48,High,fork-choice,missing_input_validation,malicious_attestation,Fix Electra Fork Choice Tests
row49,High,data-availability-sampling,resource_exhaustion,malicious_p2p_message,Re-process early sampling requests
row50,High,fork-choice,integer_overflow_underflow,crafted_state,Reduce size of futures in HTTP API to prevent stack overflows
row51,High,build-ci,resource_exhaustion,crafted_state,Tree states release v4.6.111-exp
row52,High,beacon-chain:slashing,consensus_divergence,malformed_input,Delete temporary mitigation for equivocation via RPC
row53,High,beacon-chain:attestation,resource_exhaustion,malicious_attestation,Add cache for parallel HTTP requests
row54,High,beacon-chain:attestation,missing_input_validation,malicious_attestation,Fix for issue 4860 - Added in process_justification_and_finalization
